customer_id,customer_name,city,customer_type
C001,Apex Sports,Ludhiana,Wholesaler
C002,Global Sports,Jalandhar,Retailer
C003,Punjab Traders,Delhi,Wholesaler
C004,Elite Athletics,Chandigarh,Wholesaler
C005,North Star Sports,Chandigarh,Distributor
C006,Victory Sports,Amritsar,Wholesaler
C007,Prime Athletics,Ludhiana,Retailer
C008,Urban Sports,Ludhiana,Distributor
C009,Galaxy Traders,Jaipur,Wholesaler
C010,Pro Sports India,Jalandhar,Distributor
C011,Champion Traders,Jalandhar,Retailer
C012,Active Sports,Ludhiana,Wholesaler
C013,Royal Sports,Chandigarh,Retailer
C014,Dynamic Athletics,Chandigarh,Distributor
C015,Sports Hub,Jalandhar,Wholesaler
C016,Maxx Sports,Chandigarh,Distributor
C017,Super Sports,Jaipur,Distributor
C018,United Traders,Chandigarh,Wholesaler
C019,Star Athletics,Kolkata,Distributor
C020,Fit Sports,Delhi,Retailer
C021,Power Sports,Jalandhar,Distributor
C022,Excel Traders,Amritsar,Retailer
C023,Olympic Sports,Jaipur,Retailer
C024,Rapid Sports,Mumbai,Distributor
C025,Metro Athletics,Delhi,Retailer
C026,National Traders,Amritsar,Wholesaler
C027,SportZone,Chandigarh,Retailer
C028,TopGear Sports,Mumbai,Retailer
C029,Future Athletics,Ludhiana,Retailer
C030,Punjab Sports House,Ludhiana,Wholesaler
