inventory_id,product_id,stock_quantity,last_updated
I001,P001,37,2026-08-31
I002,P002,4,2026-08-31
I003,P003,14,2026-08-31
I004,P004,24,2026-08-31
I005,P005,24,2026-08-31
I006,P006,8,2026-08-31
I007,P007,6,2026-08-31
I008,P008,1,2026-08-31
I009,P009,12,2026-08-31
I010,P010,33,2026-08-31
I011,P011,55,2026-08-31
I012,P012,58,2026-08-31
I013,P013,32,2026-08-31
I014,P014,43,2026-08-31
I015,P015,26,2026-08-31
I016,P016,52,2026-08-31
I017,P017,9,2026-08-31
I018,P018,38,2026-08-31
I019,P019,6,2026-08-31
I020,P020,11,2026-08-31
I021,P021,30,2026-08-31
I022,P022,57,2026-08-31
I023,P023,39,2026-08-31
I024,P024,38,2026-08-31
I025,P025,2,2026-08-31
