production_id,order_id,production_date,quantity_produced,defective_quantity,production_status
PR0001,O0001,2026-03-27,34,1,Completed
PR0002,O0002,2026-07-27,4,0,Pending
PR0003,O0003,2026-08-31,16,0,Completed
PR0004,O0004,2026-01-22,47,0,In Progress
PR0005,O0005,2026-05-10,9,1,Completed
PR0006,O0006,2026-02-09,30,2,In Progress
PR0007,O0007,2026-08-22,47,0,Completed
PR0008,O0008,2026-07-15,40,4,Completed
PR0009,O0009,2026-04-12,16,1,Completed
PR0010,O0010,2026-03-03,15,0,Completed
PR0011,O0011,2026-06-01,3,0,In Progress
PR0012,O0012,2026-03-06,5,1,Pending
PR0013,O0013,2026-05-17,33,0,Completed
PR0014,O0014,2026-02-10,9,0,Completed
PR0015,O0015,2026-02-03,25,2,Completed
PR0016,O0016,2026-05-08,2,1,Pending
PR0017,O0017,2026-04-16,8,1,Completed
PR0018,O0018,2026-02-23,25,2,Completed
PR0019,O0019,2026-03-14,4,1,In Progress
PR0020,O0020,2026-01-21,14,1,Completed
PR0021,O0021,2026-02-13,4,1,Completed
PR0022,O0022,2026-02-18,30,0,Completed
PR0023,O0023,2026-03-18,43,0,In Progress
PR0024,O0024,2026-07-09,2,0,Completed
PR0025,O0025,2026-06-02,37,3,Pending
PR0026,O0026,2026-05-10,10,0,Completed
PR0027,O0027,2026-01-22,6,0,In Progress
PR0028,O0028,2026-08-20,4,1,Completed
PR0029,O0029,2026-04-20,42,2,In Progress
PR0030,O0030,2026-03-31,41,0,In Progress
PR0031,O0031,2026-03-26,1,1,Completed
PR0032,O0032,2026-05-06,12,1,In Progress
PR0033,O0033,2026-02-10,23,2,Completed
PR0034,O0034,2026-03-20,19,1,Completed
PR0035,O0035,2026-06-11,40,3,In Progress
PR0036,O0036,2026-01-30,47,4,Completed
PR0037,O0037,2026-05-24,43,0,Completed
PR0038,O0038,2026-04-07,29,1,In Progress
PR0039,O0039,2026-05-16,4,1,Completed
PR0040,O0040,2026-06-21,20,1,Completed
PR0041,O0041,2026-07-25,48,1,Completed
PR0042,O0042,2026-05-02,42,1,Completed
PR0043,O0043,2026-08-21,37,0,Pending
PR0044,O0044,2026-05-29,22,0,Completed
PR0045,O0045,2026-08-27,15,1,Completed
PR0046,O0046,2026-06-22,38,3,Completed
PR0047,O0047,2026-07-15,11,0,In Progress
PR0048,O0048,2026-08-23,24,0,Completed
PR0049,O0049,2026-08-04,4,0,In Progress
PR0050,O0050,2026-04-10,30,3,Completed
PR0051,O0051,2026-04-09,14,0,Completed
PR0052,O0052,2026-01-08,47,4,In Progress
PR0053,O0053,2026-03-20,35,3,Completed
PR0054,O0054,2026-03-27,33,1,Completed
PR0055,O0055,2026-03-11,45,2,Completed
PR0056,O0056,2026-07-25,23,0,In Progress
PR0057,O0057,2026-08-29,1,1,Pending
PR0058,O0058,2026-05-17,22,1,Completed
PR0059,O0059,2026-06-19,16,0,In Progress
PR0060,O0060,2026-05-19,42,4,Completed
PR0061,O0061,2026-03-22,40,2,Pending
PR0062,O0062,2026-07-20,33,2,Pending
PR0063,O0063,2026-08-09,38,0,Completed
PR0064,O0064,2026-06-08,9,1,Pending
PR0065,O0065,2026-05-17,11,0,Completed
